Year,Make,Model,Price,Color
2009,Nissan ,Nissan Qashqai,14920,Brown
2009,Audi ,Audi A4,13907,Purple
2009,Peugeot ,Peugeot 308,13630,Blue
2009,Toyota ,Toyota Auris,11880,Orange
2009,Toyota ,Toyota Yaris,11604,Yellow
2009,Toyota ,Toyota Corolla,11604,Orange
2009,Honda ,Honda CR-V,11328,Red
2009,Volvo ,Volvo XC60,10130,Black
2009,Peugeot ,Peugeot 207,9946,Green
2009,Volvo ,Volvo V70,9854,White
2009,Mazda ,Mazda 6,4973,Orange
2009,Volkswagen ,Volkswagen Golf,37944,Blue
2009,Ford ,Ford Mondeo,33892,Red
2009,Toyota ,Toyota Avensis,32511,Blue
2009,Opel ,Opel Insignia,25879,Yellow
2009,Volkswagen ,Volkswagen Passat,21459,Pink
2009,Volvo ,Volvo V70,19893,Black
2009,Nissan ,Nissan Qashqai,18604,Orange
2009,Volvo ,Volvo V50,17590,White
2009,Ford ,Ford Focus,17498,Pink
2009,BMW ,BMW 3-serie,17314,Pink
2009,Audi ,Audi A4,17130,Yellow
2009,Skoda ,Skoda Octavia,16762,Purple
2009,Hyundai ,Hyundai i30,13538,Purple
2009,Volkswagen ,Volkswagen Tiguan,12986,Red
2009,Mazda ,Mazda 6,11328,Yellow
2009,Peugeot ,Peugeot 308,10499,Red
2009,Honda ,Honda CR-V,10038,Yellow
2009,Volvo ,Volvo XC60,10038,White
2009,Toyota ,Toyota Yaris,9117,Blue
2009,Toyota ,Toyota Auris,8841,Black
2009,Volkswagen ,Volkswagen Golf,44391,Green
2009,Volkswagen ,Volkswagen Passat,41260,Pink
2009,Toyota ,Toyota Avensis,40800,Gray
2009,Volvo ,Volvo V70,37392,White
2009,Ford ,Ford Mondeo,31221,Yellow
2009,Nissan ,Nissan Qashqai,29932,Yellow
2009,Toyota ,Toyota Auris,26524,Pink
2009,Volvo ,Volvo V50,23209,Blue
2009,Audi ,Audi A4,22656,Red
2009,Opel ,Opel Insignia,21735,Pink
2009,Volkswagen ,Volkswagen Tiguan,18880,Black
2009,Skoda ,Skoda Octavia,17959,Red
2009,Ford ,Ford Focus,17959,Purple
2009,Volvo ,Volvo XC60,16393,Brown
2009,Honda ,Honda CR-V,15933,Black
2009,BMW ,BMW 3-serie,15564,Orange
2009,Hyundai ,Hyundai i30,15196,Black
2009,Peugeot ,Peugeot 308,12709,Pink
2009,Toyota ,Toyota Yaris,10407,Yellow
2009,Mazda ,Mazda 6,8196,Purple
2009,Volkswagen ,Volkswagen Golf,41721,Blue
2009,Toyota ,Toyota Avensis,31590,Orange
2009,Nissan ,Nissan Qashqai,29748,Black
2009,Volkswagen ,Volkswagen Passat,27445,Green
2009,Audi ,Audi A4,20630,Purple
2009,Toyota ,Toyota Auris,20169,Black
2009,BMW ,BMW 3-serie,17867,Black
2009,Volkswagen ,Volkswagen Tiguan,17498,Blue
2009,Ford ,Ford Mondeo,16946,Yellow
2009,Toyota ,Toyota Yaris,16025,White
2009,Skoda ,Skoda Octavia,15564,White
2009,Volvo ,Volvo V70,15564,Purple
2009,Hyundai ,Hyundai i30,15196,Blue
2009,Ford ,Ford Focus,14183,Blue
2009,Opel ,Opel Insignia,10683,Brown
2009,Peugeot ,Peugeot 308,9117,Red
2009,Honda ,Honda CR-V,9117,White
2009,Mazda ,Mazda 6,8288,Pink
2009,Volvo ,Volvo V50,6354,Black
2009,Volvo ,Volvo XC60,5341,Red
2009,Toyota ,Toyota Prius,47431,Black
2009,Volkswagen ,Volkswagen Golf,41444,Black
2009,Ford ,Ford Mondeo,36655,Yellow
2009,Volvo ,Volvo V70,31958,Gray
2009,Toyota ,Toyota Avensis,29287,Green
2009,Nissan ,Nissan Qashqai,27814,Gray
2009,Volkswagen ,Volkswagen Passat,25419,White
2009,Volvo ,Volvo V50,22380,Pink
2009,Volkswagen ,Volkswagen Tiguan,21919,Brown
2009,Ford ,Ford Focus,21090,Purple
2009,BMW ,BMW 3-serie,18235,Green
2009,Skoda ,Skoda Octavia,17867,Purple
2009,Toyota ,Toyota Auris,15288,Purple
2009,Mazda ,Mazda 6,15104,Blue
2009,Audi ,Audi A4,12249,Black
2009,Opel ,Opel Insignia,12157,Green
2009,Toyota ,Toyota Yaris,11512,White
2009,Hyundai ,Hyundai i30,11328,Orange
2009,Honda ,Honda CR-V,6631,Orange
2009,Peugeot ,Peugeot 308,5710,Gray
2009,Volkswagen ,Volkswagen Golf,58206,Red
2009,Ford ,Ford Mondeo,36379,Gray
2009,Toyota ,Toyota Avensis,31774,Purple
2009,Skoda ,Skoda Octavia,29287,Blue
2009,Nissan ,Nissan Qashqai,28274,Red
2009,Toyota ,Toyota Prius,26708,White
2009,Volvo ,Volvo V70,26524,Yellow
2009,Ford ,Ford Focus,25603,Brown
2009,Volkswagen ,Volkswagen Passat,23393,Yellow
2009,Volvo ,Volvo V50,20261,Black
2009,Audi ,Audi A4,19985,Black
2009,Volkswagen ,Volkswagen Tiguan,17775,Purple
2009,BMW ,BMW 3-serie,16117,Purple
2009,Opel ,Opel Insignia,15380,Brown
2009,Toyota ,Toyota Auris,14920,Gray
2009,Toyota ,Toyota Yaris,14551,White
2009,Hyundai ,Hyundai i30,11512,Blue
2009,Honda ,Honda CR-V,6539,Red
2009,Peugeot ,Peugeot 308,6354,Gray
2009,Mazda ,Mazda 6,6262,Green
2009,Volkswagen ,Volkswagen Golf,52220,Red
2009,Volvo ,Volvo V70,49549,Black
2009,Ford ,Ford Mondeo,30853,White
2009,Volkswagen ,Volkswagen Tiguan,29932,Blue
2009,Toyota ,Toyota Avensis,29287,Pink
2009,Volkswagen ,Volkswagen Passat,28642,White
2009,Nissan ,Nissan Qashqai,26800,White
2009,Toyota ,Toyota Urban Cruiser,25051,Black
2009,Audi ,Audi A4,20814,Purple
2009,Skoda ,Skoda Octavia,20261,Orange
2009,Volvo ,Volvo V50,20077,Pink
2009,Ford ,Ford Focus,19801,Blue
2009,Toyota ,Toyota Prius,16393,Purple
2009,Toyota ,Toyota Yaris,15656,Black
2009,Toyota ,Toyota Rav4,13630,Black
2009,Volvo ,Volvo XC60,13354,Gray
2009,Toyota ,Toyota Auris,13170,Blue
2009,Opel ,Opel Insignia,13170,Orange
2009,BMW ,BMW 3-serie,11972,Pink
2009,Peugeot ,Peugeot 308,7828,Black
2009,Volvo ,Volvo V70,61522,Gray
2009,Volkswagen ,Volkswagen Golf,41813,White
2009,Ford ,Ford Mondeo,38773,Green
2009,Volkswagen ,Volkswagen Passat,38129,Pink
2009,Volvo ,Volvo XC60,35366,Pink
2009,Volkswagen ,Volkswagen Tiguan,34076,Gray
2009,Ford ,Ford Focus,25511,Black
2009,Toyota ,Toyota Avensis,23669,Brown
2009,Audi ,Audi A4,23669,Purple
2009,Nissan ,Nissan Qashqai,21274,Yellow
2009,Skoda ,Skoda Octavia,19432,Purple
2009,Toyota ,Toyota Yaris,16762,Black
2009,Toyota ,Toyota Urban Cruiser,15288,Pink
2009,Opel ,Opel Insignia,13538,Red
2009,Toyota ,Toyota Rav4,13078,Gray
2009,BMW ,BMW 3-serie,11972,Green
2009,Toyota ,Toyota Auris,11328,Green
2009,Volvo ,Volvo V50,7460,Green
2009,Toyota ,Toyota Prius,7183,White
2009,Peugeot ,Peugeot 308,3591,Brown
2010,Volkswagen ,Volkswagen Golf,68061,Red
2010,Toyota ,Toyota Prius,37116,Yellow
2010,Toyota ,Toyota Avensis,31958,Orange
2010,Peugeot ,Peugeot 3008,30945,Blue
2010,Volkswagen ,Volkswagen Polo,28550,Red
2010,Ford ,Ford Fiesta,28366,Red
2010,Toyota ,Toyota Urban Cruiser,27814,Blue
2010,Volvo ,Volvo V50,27814,Brown
2010,Volkswagen ,Volkswagen Passat,27537,Blue
2010,Nissan ,Nissan Qashqai,25695,Blue
2010,Ford ,Ford Mondeo,20814,Purple
2010,Peugeot ,Peugeot 308,19432,Green
2010,Skoda ,Skoda Octavia,18143,White
2010,Toyota ,Toyota Auris,17498,White
2010,Toyota ,Toyota Yaris,17130,Brown
2010,Toyota ,Toyota Rav4,16762,Blue
2010,Volvo ,Volvo V70,16670,Brown
2010,Audi ,Audi A4,16209,Gray
2010,Peugeot ,Peugeot 207,15749,Yellow
2010,Ford ,Ford Focus,15288,Green
2010,Volkswagen ,Volkswagen Golf,54983,Purple
2010,Volvo ,Volvo V70,30392,White
2010,Volvo ,Volvo V50,29011,Gray
2010,Toyota ,Toyota Avensis,28827,Black
2010,Volkswagen ,Volkswagen Passat,28642,Black
2010,Skoda ,Skoda Octavia,25051,Brown
2010,Nissan ,Nissan Qashqai,23669,Gray
2010,Mitsubishi ,Mitsubishi Outlander,21459,Orange
2010,Toyota ,Toyota Prius,18788,Pink
2010,Peugeot ,Peugeot 3008,17775,Brown
2010,Volkswagen ,Volkswagen Polo,17314,Green
2010,Toyota ,Toyota Urban Cruiser,16393,Black
2010,Ford ,Ford Mondeo,16025,Green
2010,Suzuki ,Suzuki SX4,15104,Purple
2010,Toyota ,Toyota Yaris,14091,Blue
2010,Toyota ,Toyota Auris,13722,Brown
2010,Audi ,Audi A4,13170,Red
2010,Ford ,Ford Fiesta,12709,Yellow
2010,Toyota ,Toyota Rav4,11051,Yellow
2010,Peugeot ,Peugeot 308,9025,Black
2010,Volkswagen ,Volkswagen Golf,55351,Black
2010,Volvo ,Volvo V70,35642,White
2010,Toyota ,Toyota Avensis,35181,Orange
2010,Nissan ,Nissan Qashqai,35089,Blue
2010,Volkswagen ,Volkswagen Passat,30300,Yellow
2010,Peugeot ,Peugeot 3008,28366,Black
2010,Ford ,Ford Mondeo,27629,Blue
2010,Skoda ,Skoda Octavia,25603,White
2010,Ford ,Ford Fiesta,24498,Brown
2010,Volvo ,Volvo V50,22195,Blue
2010,Toyota ,Toyota Auris,21182,Purple
2010,Toyota ,Toyota Prius,20446,Pink
2010,Volvo ,Volvo XC60,20077,Blue
2010,Audi ,Audi A4,19064,Green
2010,Ford ,Ford Focus,18788,Blue
2010,Opel ,Opel Astra,18604,Black
2010,Mitsubishi ,Mitsubishi Outlander,18235,Blue
2010,Volkswagen ,Volkswagen Polo,17314,Blue
2010,Toyota ,Toyota Urban Cruiser,14551,White
2010,Toyota ,Toyota Yaris,12893,Black
2010,Volkswagen ,Volkswagen Golf,70271,Gray
2010,Volvo ,Volvo V70,38037,Orange
2010,Nissan ,Nissan Qashqai,35550,Purple
2010,Volkswagen ,Volkswagen Passat,34076,Green
2010,Volkswagen ,Volkswagen Polo,29840,Gray
2010,Toyota ,Toyota Avensis,27353,Blue
2010,Skoda ,Skoda Octavia,25051,Black
2010,Mitsubishi ,Mitsubishi Outlander,24406,Green
2010,Audi ,Audi A4,23853,Black
2010,Volvo ,Volvo V50,23209,Yellow
2010,Volkswagen ,Volkswagen Tiguan,23209,Purple
2010,Audi ,Audi A3,21643,Yellow
2010,Peugeot ,Peugeot 3008,20261,Red
2010,Opel ,Opel Astra,19432,Red
2010,Toyota ,Toyota Prius,18419,Yellow
2010,Toyota ,Toyota Auris,17683,Black
2010,Ford ,Ford Mondeo,16485,Red
2010,Toyota ,Toyota Urban Cruiser,12986,Pink
2010,Ford ,Ford Focus,12157,Purple
2010,Ford ,Ford Fiesta,10038,Yellow
2010,Volkswagen ,Volkswagen Golf,51483,Pink
2010,Volvo ,Volvo V70,36379,Pink
2010,Nissan ,Nissan Qashqai,35089,Blue
2010,Volkswagen ,Volkswagen Passat,30761,White
2010,Ford ,Ford Mondeo,26708,Brown
2010,Toyota ,Toyota Avensis,26616,Blue
2010,Volkswagen ,Volkswagen Polo,25695,Brown
2010,Mitsubishi ,Mitsubishi Outlander,21735,Black
2010,Audi ,Audi A4,19617,Purple
2010,Toyota ,Toyota Auris,19525,Yellow
2010,Ford ,Ford Fiesta,18419,Blue
2010,Peugeot ,Peugeot 3008,18327,Yellow
2010,Ford ,Ford Focus,18327,Gray
2010,Volkswagen ,Volkswagen Tiguan,17222,Pink
2010,Skoda ,Skoda Octavia,16393,Gray
2010,Audi ,Audi A3,16117,Red
2010,Toyota ,Toyota Prius,15933,Brown
2010,Opel ,Opel Astra,15104,White
2010,Volvo ,Volvo V50,14920,Orange
2010,Toyota ,Toyota Urban Cruiser,12341,Brown
2010,Volkswagen ,Volkswagen Golf,61798,Brown
2010,Ford ,Ford Mondeo,43470,Brown
2010,Nissan ,Nissan Qashqai,39050,Red
2010,Volvo ,Volvo V70,34353,Yellow
2010,Toyota ,Toyota Avensis,32511,Orange
2010,Skoda ,Skoda Octavia,24222,Green
2010,Volkswagen ,Volkswagen Passat,24130,Brown
2010,Toyota ,Toyota Auris,23577,Purple
2010,Ford ,Ford Focus,23393,Gray
2010,Audi ,Audi A4,22288,Blue
2010,Toyota ,Toyota Prius,20261,Black
2010,Mitsubishi ,Mitsubishi Outlander,19985,Brown
2010,Opel ,Opel Astra,19617,Pink
2010,Volvo ,Volvo V50,18143,Pink
2010,Peugeot ,Peugeot 3008,17775,Pink
2010,Ford ,Ford Fiesta,17130,Black
2010,Volkswagen ,Volkswagen Polo,16485,Red
2010,Volkswagen ,Volkswagen Tiguan,11604,Black
2010,Toyota ,Toyota Urban Cruiser,10315,Orange
2010,Audi ,Audi A3,9302,Pink
2010,Volkswagen ,Volkswagen Golf,82244,Blue
2010,Toyota ,Toyota Avensis,38313,White
2010,Volvo ,Volvo V70,32787,Gray
2010,Volkswagen ,Volkswagen Passat,31958,Green
2010,Nissan ,Nissan Qashqai,28735,Red
2010,Ford ,Ford Mondeo,28550,Brown
2010,Volkswagen ,Volkswagen Polo,28550,Yellow
2010,Toyota ,Toyota Auris,28182,Black
2010,Volvo ,Volvo V50,27537,Gray
2010,Skoda ,Skoda Octavia,25972,Gray
2010,Audi ,Audi A4,22840,Yellow
2010,Volvo ,Volvo XC60,22564,Red
2010,Ford ,Ford Focus,18604,Red
2010,Peugeot ,Peugeot 3008,18511,Brown
2010,Toyota ,Toyota Prius,18327,Black
2010,Mitsubishi ,Mitsubishi Outlander,18327,Gray
2010,Ford ,Ford Fiesta,18051,Green
2010,Volkswagen ,Volkswagen Tiguan,16854,Green
2010,Opel ,Opel Astra,12341,Red
2010,Toyota ,Toyota Urban Cruiser,9209,Green
2010,Volkswagen ,Volkswagen Golf,50102,Green
2010,Toyota ,Toyota Avensis,37852,Green
2010,Ford ,Ford Fiesta,33984,Purple
2010,Volkswagen ,Volkswagen Polo,26800,Pink
2010,Nissan ,Nissan Qashqai,25787,Yellow
2010,Toyota ,Toyota Auris,23393,Green
2010,Volkswagen ,Volkswagen Passat,22932,Yellow
2010,Ford ,Ford Mondeo,22840,Green
2010,Audi ,Audi A4,21827,Gray
2010,Volkswagen ,Volkswagen Tiguan,20077,Black
2010,Ford ,Ford Focus,19340,Blue
2010,Peugeot ,Peugeot 3008,18696,Brown
2010,Volvo ,Volvo V70,17867,Purple
2010,Skoda ,Skoda Octavia,16301,Gray
2010,Toyota ,Toyota Rav4,16025,White
2010,Volvo ,Volvo V50,15104,Blue
2010,Toyota ,Toyota Urban Cruiser,14459,Brown
2010,Opel ,Opel Astra,13262,Purple
2010,Mitsubishi ,Mitsubishi Outlander,12986,Blue
2010,Toyota ,Toyota Prius,11512,Pink
2010,Volkswagen ,Volkswagen Golf,61706,Red
2010,Volvo ,Volvo V70,42642,Green
2010,Toyota ,Toyota Auris,37116,Red
2010,Nissan ,Nissan Qashqai,33800,Brown
2010,Ford ,Ford Focus,30116,Gray
2010,Toyota ,Toyota Avensis,29287,Blue
2010,Ford ,Ford Mondeo,24590,Gray
2010,Skoda ,Skoda Octavia,23761,Green
2010,Ford ,Ford Fiesta,23024,Blue
2010,Volkswagen ,Volkswagen Passat,21643,Red
2010,Volkswagen ,Volkswagen Tiguan,21643,Red
2010,Volkswagen ,Volkswagen Polo,19340,White
2010,Peugeot ,Peugeot 3008,14735,Gray
2010,Toyota ,Toyota Rav4,14735,Brown
2010,Volvo ,Volvo V50,13722,Brown
2010,Audi ,Audi A4,13262,Gray
2010,Toyota ,Toyota Yaris,13262,Brown
2010,Toyota ,Toyota Prius,12065,Yellow
2010,Mitsubishi ,Mitsubishi Outlander,11236,Black
2010,Opel ,Opel Astra,8288,Pink
2010,Volkswagen ,Volkswagen Golf,68337,Brown
2010,Volvo ,Volvo V70,36195,Black
2010,Nissan ,Nissan Qashqai,29011,Black
2010,Toyota ,Toyota Avensis,27537,Gray
2010,Ford ,Ford Fiesta,27537,Orange
2010,Volkswagen ,Volkswagen Polo,27353,Blue
2010,Toyota ,Toyota Auris,25143,Red
2010,Skoda ,Skoda Octavia,23761,Orange
2010,Volkswagen ,Volkswagen Tiguan,19156,Orange
2010,Volvo ,Volvo V50,17590,Black
2010,Toyota ,Toyota Rav4,17130,Red
2010,Peugeot ,Peugeot 3008,16854,Purple
2010,Audi ,Audi A4,16393,Purple
2010,Ford ,Ford Focus,16025,Black
2010,Volkswagen ,Volkswagen Passat,15472,Black
2010,Toyota ,Toyota Prius,14275,Green
2010,Ford ,Ford Mondeo,13538,Gray
2010,Toyota ,Toyota Yaris,12525,Blue
2010,Toyota ,Toyota Urban Cruiser,12249,Brown
2010,Mitsubishi ,Mitsubishi Outlander,11328,Brown
2010,Volkswagen ,Volkswagen Golf,84086,Gray
2010,Volvo ,Volvo V70,45312,Blue
2010,Ford ,Ford Mondeo,39050,White
2010,Toyota ,Toyota Avensis,32603,Green
2010,Skoda ,Skoda Octavia,29748,Purple
2010,Volkswagen ,Volkswagen Polo,29287,White
2010,Nissan ,Nissan Qashqai,28182,Red
2010,Mitsubishi ,Mitsubishi Outlander,26064,White
2010,Toyota ,Toyota Auris,24866,Purple
2010,Ford ,Ford Focus,19248,White
2010,Audi ,Audi A4,18880,Blue
2010,Toyota ,Toyota Rav4,18880,Pink
2010,Toyota ,Toyota Urban Cruiser,18604,Red
2010,Toyota ,Toyota Yaris,17222,Orange
2010,Ford ,Ford Fiesta,15933,Black
2010,Peugeot ,Peugeot 3008,15196,Pink
2010,Volkswagen ,Volkswagen Tiguan,14920,Orange
2010,Volvo ,Volvo V50,13538,Black
2010,Toyota ,Toyota Prius,9670,Purple
2010,Volkswagen ,Volkswagen Passat,7367,Orange
2010,Volvo ,Volvo V70,60601,Brown
2010,Volkswagen ,Volkswagen Golf,49457,White
2010,Ford ,Ford Mondeo,35458,Yellow
2010,Ford ,Ford Focus,27906,Brown
2010,Volvo ,Volvo XC60,26156,Red
2010,Skoda ,Skoda Octavia,23577,Green
2010,Mitsubishi ,Mitsubishi Outlander,23209,Gray
2010,Nissan ,Nissan Qashqai,16762,Brown
2010,Volkswagen ,Volkswagen Passat,16393,Orange
2010,Audi ,Audi A4,14828,Green
2010,Toyota ,Toyota Avensis,13078,Purple
2010,Toyota ,Toyota Auris,13078,Orange
2010,Volkswagen ,Volkswagen Polo,12709,Orange
2010,Volvo ,Volvo V50,11696,Gray
2010,Volkswagen ,Volkswagen Tiguan,11420,Gray
2010,Ford ,Ford Fiesta,10775,Blue
2010,Peugeot ,Peugeot 3008,10591,White
2010,Toyota ,Toyota Rav4,8104,Blue
2010,Toyota ,Toyota Yaris,6815,Gray
2010,Toyota ,Toyota Prius,6539,Purple
2011,Volkswagen ,Volkswagen Golf,58667,White
2011,Toyota ,Toyota Avensis,38129,Black
2011,Toyota ,Toyota Auris,37668,Blue
2011,Nissan ,Nissan Qashqai,27906,Black
2011,Volkswagen ,Volkswagen Polo,27721,Brown
2011,Volkswagen ,Volkswagen Passat,24774,Brown
2011,Skoda ,Skoda Octavia,23669,Red
2011,Ford ,Ford Mondeo,22564,Purple
2011,Ford ,Ford Focus,18972,Blue
2011,Volvo ,Volvo V70,18696,White
2011,Mitsubishi ,Mitsubishi ASX,18604,Green
2011,Suzuki ,Suzuki Swift,18327,Yellow
2011,Toyota ,Toyota Rav4,17867,Green
2011,Volkswagen ,Volkswagen Touran,17130,Yellow
2011,Toyota ,Toyota Prius,15933,Purple
2011,Suzuki ,Suzuki SX4,15749,Pink
2011,BMW ,BMW X1,15472,Gray
2011,Opel ,Opel Astra,15472,Red
2011,Peugeot ,Peugeot 3008,15380,Purple
2011,Volkswagen ,Volkswagen Tiguan,14551,Blue
2011,Volvo ,Volvo V50,14551,Pink
2011,Volkswagen ,Volkswagen Golf,48996,White
2011,Toyota ,Toyota Avensis,30024,Black
2011,Volvo ,Volvo V70,29748,White
2011,Volkswagen ,Volkswagen Passat,29379,Yellow
2011,Ford ,Ford Mondeo,28827,Black
2011,Toyota ,Toyota Auris,26064,Orange
2011,Skoda ,Skoda Octavia,25603,Black
2011,Nissan ,Nissan Qashqai,25051,Pink
2011,Volvo ,Volvo V50,23116,Orange
2011,Mitsubishi ,Mitsubishi ASX,20446,Brown
2011,Volkswagen ,Volkswagen Polo,18419,Brown
2011,Peugeot ,Peugeot 3008,17683,Yellow
2011,Ford ,Ford Focus,17590,Gray
2011,Volkswagen ,Volkswagen Tiguan,16854,Orange
2011,Volvo ,Volvo XC60,16301,Purple
2011,Toyota ,Toyota Rav4,15380,White
2011,Toyota ,Toyota Yaris,15104,Red
2011,Volkswagen ,Volkswagen Touran,14643,Pink
2011,Opel ,Opel Astra,12525,Black
2011,Suzuki ,Suzuki Swift,11420,Purple
2011,Volkswagen ,Volkswagen Golf,65759,Orange
2011,Volvo ,Volvo V70,37208,White
2011,Toyota ,Toyota Avensis,33984,Pink
2011,Volkswagen ,Volkswagen Passat,31958,Gray
2011,Mitsubishi ,Mitsubishi ASX,30945,Orange
2011,Toyota ,Toyota Auris,29656,Yellow
2011,Ford ,Ford Focus,29563,Green
2011,Volkswagen ,Volkswagen Tiguan,27261,Gray
2011,Nissan ,Nissan Qashqai,25972,Blue
2011,Ford ,Ford Mondeo,25787,Green
2011,Volvo ,Volvo V50,23669,Purple
2011,Volkswagen ,Volkswagen Polo,23209,Orange
2011,Volvo ,Volvo XC60,22103,Brown
2011,Opel ,Opel Astra,19617,White
2011,Suzuki ,Suzuki Swift,19525,Green
2011,Skoda ,Skoda Octavia,19248,Green
2011,Toyota ,Toyota Yaris,17314,Orange
2011,Peugeot ,Peugeot 3008,16301,Gray
2011,Toyota ,Toyota Rav4,14920,Black
2011,Volkswagen ,Volkswagen Touran,11972,Red
2011,Volkswagen ,Volkswagen Golf,62627,Purple
2011,Mitsubishi ,Mitsubishi ASX,59127,Red
2011,Volkswagen ,Volkswagen Passat,39786,Brown
2011,Volvo ,Volvo V70,31774,Yellow
2011,Volkswagen ,Volkswagen Polo,30853,White
2011,Toyota ,Toyota Avensis,27261,Black
2011,Toyota ,Toyota Auris,24866,Purple
2011,Ford ,Ford Focus,24498,Green
2011,Nissan ,Nissan Qashqai,23761,Brown
2011,Skoda ,Skoda Octavia,21919,Black
2011,Peugeot ,Peugeot 3008,20446,Pink
2011,Ford ,Ford Mondeo,18604,Purple
2011,Audi ,Audi A4,16117,Purple
2011,Opel ,Opel Astra,15841,Black
2011,Volvo ,Volvo V50,14367,Orange
2011,Volvo ,Volvo XC60,13446,Orange
2011,Volkswagen ,Volkswagen Touran,12801,Red
2011,Volkswagen ,Volkswagen Tiguan,12709,Brown
2011,Suzuki ,Suzuki Swift,11788,White
2011,Toyota ,Toyota Rav4,10499,Orange
2011,Volkswagen ,Volkswagen Golf,56272,White
2011,Volkswagen ,Volkswagen Passat,53509,Yellow
2011,Mitsubishi ,Mitsubishi ASX,53141,Blue
2011,Volvo ,Volvo V60,36931,Brown
2011,Ford ,Ford Focus,33063,Black
2011,Nissan ,Nissan Qashqai,32142,Black
2011,Toyota ,Toyota Avensis,30853,Brown
2011,Volkswagen ,Volkswagen Polo,27353,Yellow
2011,Ford ,Ford Mondeo,26340,Yellow
2011,Toyota ,Toyota Auris,23853,White
2011,Audi ,Audi A4,22288,Blue
2011,Skoda ,Skoda Octavia,22195,White
2011,Volvo ,Volvo V70,22011,Blue
2011,Volvo ,Volvo V50,19617,White
2011,Opel ,Opel Astra,17590,Pink
2011,Peugeot ,Peugeot 3008,13722,Gray
2011,Toyota ,Toyota Rav4,10867,Gray
2011,Volvo ,Volvo XC60,10591,Pink
2011,Suzuki ,Suzuki Swift,9302,Black
2011,Volkswagen ,Volkswagen Tiguan,7460,Orange
2011,Volkswagen ,Volkswagen Passat,37852,Red
2011,Volkswagen ,Volkswagen Golf,36010,Green
2011,Mitsubishi ,Mitsubishi ASX,33432,Brown
2011,Ford ,Ford Focus,29932,Brown
2011,Ford ,Ford Mondeo,28550,Green
2011,Nissan ,Nissan Qashqai,28274,White
2011,Volvo ,Volvo V70,23577,Yellow
2011,Volvo ,Volvo V60,23485,Red
2011,Toyota ,Toyota Avensis,22656,Pink
2011,Skoda ,Skoda Octavia,22564,Green
2011,Audi ,Audi A4,18696,Orange
2011,Peugeot ,Peugeot 508,17590,Yellow
2011,Volvo ,Volvo V50,15656,Black
2011,Opel ,Opel Astra,15472,Orange
2011,Toyota ,Toyota Auris,12986,Orange
2011,Volkswagen ,Volkswagen Polo,12986,Orange
2011,Peugeot ,Peugeot 3008,10867,Pink
2011,Toyota ,Toyota Yaris,10775,Blue
2011,Volvo ,Volvo XC60,8196,Gray
2011,Volkswagen ,Volkswagen Tiguan,5065,Red
2011,Volkswagen ,Volkswagen Golf,58575,Pink
2011,Mitsubishi ,Mitsubishi ASX,43931,Red
2011,Toyota ,Toyota Avensis,37760,Red
2011,Volvo ,Volvo V70,35366,Brown
2011,Ford ,Ford Focus,32419,Orange
2011,Volkswagen ,Volkswagen Passat,30300,Yellow
2011,Nissan ,Nissan Qashqai,28090,Yellow
2011,Skoda ,Skoda Octavia,26064,Black
2011,Volvo ,Volvo V50,23485,Pink
2011,Toyota ,Toyota Auris,21735,Gray
2011,Volkswagen ,Volkswagen Polo,21735,Brown
2011,Toyota ,Toyota Yaris,20722,Brown
2011,Volvo ,Volvo V60,20446,Black
2011,Peugeot ,Peugeot 508,20261,Green
2011,Ford ,Ford Mondeo,19156,Brown
2011,Audi ,Audi A4,17683,Yellow
2011,Opel ,Opel Astra,16209,Yellow
2011,Volvo ,Volvo XC60,15841,Black
2011,Peugeot ,Peugeot 3008,13354,Purple
2011,Volkswagen ,Volkswagen Tiguan,10591,Blue
2011,Volkswagen ,Volkswagen Golf,61522,Orange
2011,Ford ,Ford Focus,47891,Orange
2011,Volkswagen ,Volkswagen Passat,37392,Green
2011,Mitsubishi ,Mitsubishi ASX,31129,Pink
2011,Volkswagen ,Volkswagen Polo,28090,Blue
2011,Skoda ,Skoda Octavia,25235,White
2011,Toyota ,Toyota Avensis,24498,Purple
2011,Nissan ,Nissan Qashqai,24130,Brown
2011,Toyota ,Toyota Auris,22380,Green
2011,Volvo ,Volvo V70,21367,Purple
2011,Ford ,Ford Mondeo,21182,Brown
2011,Volkswagen ,Volkswagen Tiguan,20446,Blue
2011,Audi ,Audi A4,17775,Red
2011,Volvo ,Volvo V50,16393,Blue
2011,Peugeot ,Peugeot 508,15933,Gray
2011,Toyota ,Toyota Yaris,14091,Orange
2011,Volvo ,Volvo V60,13907,Brown
2011,Opel ,Opel Astra,13538,Pink
2011,Peugeot ,Peugeot 3008,13078,Pink
2011,Volvo ,Volvo XC60,6631,Blue
2011,Volkswagen ,Volkswagen Golf,55996,Red
2011,Ford ,Ford Focus,40523,Black
2011,Nissan ,Nissan Qashqai,39602,White
2011,Volvo ,Volvo V70,34261,Red
2011,Volkswagen ,Volkswagen Passat,31498,Yellow
2011,Skoda ,Skoda Octavia,30484,Purple
2011,Toyota ,Toyota Avensis,29563,Red
2011,Volvo ,Volvo XC60,27721,Green
2011,Volvo ,Volvo V60,23209,Pink
2011,Ford ,Ford Mondeo,22011,White
2011,Toyota ,Toyota Auris,21090,Pink
2011,Volkswagen ,Volkswagen Tiguan,20722,Brown
2011,Volkswagen ,Volkswagen Polo,20261,Red
